                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17
                        j                        l                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                    x_ref             Re(xi_r_ref)             Im(xi_r_ref)             Re(xi_h_ref)             Im(xi_h_ref)                        H            Re(lag_L_ref)            Im(lag_L_ref)
                        3                        1                        0                       67 -0.9999999164834247E+000  0.2793985053808500E-001 -0.6308523149170151E-003  0.1029560993225000E+001 -0.2324639979870018E-001  0.9999742467822680E+000  0.8473564691136498E-001 -0.7735622866272900E-018  0.1083918805655159E+003  0.4894365206807016E+001  0.3903176240452646E-003  0.6574993976049269E+001 -0.1262599460491185E+001
                        4                        1                        0                       65 -0.9999997170552761E+000  0.2876005549441406E-001 -0.5607128056681688E-003  0.1059784885379868E+001 -0.2066181536407257E-001  0.9999742467822680E+000  0.9060794791318211E-001  0.3315650868917364E-017  0.1094360757398792E+003  0.4268622774375062E+001  0.4135703960208890E-003  0.7006178817442439E+001 -0.1343163116747479E+001
                        5                        1                        0                       61 -0.9999996499214184E+000  0.3092921576001869E-001 -0.6044405500279362E-003  0.1139716694409265E+001 -0.2227314753112062E-001  0.9999742467822680E+000  0.1377532772443008E+000 -0.2186640815657025E-017  0.1438406406641984E+003  0.5632484742328293E+001  0.4783081937648941E-003  0.1055563265727772E+002 -0.2003733775010891E+001
                        6                        1                        0                       63 -0.9999997591731788E+000  0.2983423453517167E-001 -0.5988112607677681E-003  0.1099367518028399E+001 -0.2206571275497716E-001  0.9999742467822680E+000  0.1147059375518695E+000  0.7403886718845742E-018  0.1287303221318473E+003  0.5169038827248023E+001  0.4450407751498163E-003  0.8830003238588802E+001 -0.1684239219070931E+001
                        7                        1                        0                       58 -0.9999993383848254E+000  0.3208765011039779E-001 -0.5854914917144759E-003  0.1182404067369135E+001 -0.2157488999136423E-001  0.9999742467822680E+000  0.1601671325046162E+000 -0.1262973520265832E-019  0.1554287708167317E+003  0.5686266349026586E+001  0.5148086448036552E-003  0.1221607687383481E+002 -0.2308861833020574E+001
                        8                        1                        0                       62 -0.9999997763464448E+000  0.3037768301142016E-001 -0.6229198344089825E-003  0.1119393156755790E+001 -0.2295409427976208E-001  0.9999742467822680E+000  0.1289550677820062E+000  0.5185452513184054E-017  0.1395737153196683E+003  0.5717928872974268E+001  0.4614018125711632E-003  0.9904168517068472E+001 -0.1884584527064918E+001
                        9                        1                        0                       60 -0.9999994101822864E+000  0.3150042359822836E-001 -0.5782652644858103E-003  0.1160765243271164E+001 -0.2130860933704673E-001  0.9999742467822680E+000  0.1457833916949830E+000 -0.1838718952597081E-017  0.1467804713214202E+003  0.5389332739152261E+001  0.4961383434339111E-003  0.1114454396319811E+002 -0.2112720210493416E+001
                       10                        1                        0                       57 -0.9999994044579085E+000  0.3271475966495879E-001 -0.6126338422103804E-003  0.1205512549462646E+001 -0.2257506375023716E-001  0.9999742467822680E+000  0.1801954418739085E+000  0.8412948249181689E-018  0.1681932828268141E+003  0.6276328586570488E+001  0.5351277499680086E-003  0.1370666371001645E+002 -0.2585462477103531E+001
                       11                        1                        0                       56 -0.9999994250564073E+000  0.3338905403378103E-001 -0.6382885293288775E-003  0.1230359753965202E+001 -0.2352041831162226E-001  0.9999742467822680E+000  0.2024839204919087E+000 -0.9139434666775579E-017  0.1814492625396534E+003  0.6960883635387843E+001  0.5574144646353754E-003  0.1536294098983017E+002 -0.2883975204901205E+001
                       12                        1                        0                       55 -0.9999993722509934E+000  0.3408773818547381E-001 -0.6611575150753962E-003  0.1256105702326195E+001 -0.2436312202068970E-001  0.9999742467822680E+000  0.2263811619926059E+000 -0.7825585092944682E-017  0.1946073137488064E+003  0.7538793954281006E+001  0.5809869473007038E-003  0.1712605918253326E+002 -0.3206973017376856E+001
                       13                        1                        0                       54 -0.9999991147405237E+000  0.3478458855867782E-001 -0.6629153986493103E-003  0.1281784077426561E+001 -0.2442789861481879E-001  0.9999742467822680E+000  0.2466768647263067E+000  0.2104205081606547E-016  0.2036850054794625E+003  0.7778831491439473E+001  0.6049838005982487E-003  0.1861310561245620E+002 -0.3472543121936596E+001
                       14                        1                        0                       53 -0.9999985571365210E+000  0.3549201615496317E-001 -0.6503997724950194E-003  0.1307852214679962E+001 -0.2396670786948248E-001  0.9999742467822680E+000  0.2646184593819402E+000 -0.4222319077740527E-017  0.2098427571037425E+003  0.7677720873014396E+001  0.6298416053720837E-003  0.1990513825325604E+002 -0.3705981686312806E+001
                       15                        1                        0                       52 -0.9999981925636022E+000  0.3622133791842877E-001 -0.6656505510843221E-003  0.1334727134363256E+001 -0.2452868677951473E-001  0.9999742467822680E+000  0.2910206815972026E+000  0.5938945487420571E-017  0.2216413805215796E+003  0.8165457459640756E+001  0.6559926603005038E-003  0.2183545684129300E+002 -0.4047688683011285E+001
                       16                        1                        0                       51 -0.9999983931956062E+000  0.3697403057598916E-001 -0.7211915935175050E-003  0.1362463252674079E+001 -0.2657532946768206E-001  0.9999742467822680E+000  0.3312369686129741E+000  0.1863343750416646E-017  0.2420110598602450E+003  0.9431292981829831E+001  0.6835394685170921E-003  0.2477489603767101E+002 -0.4574519505492108E+001
                       17                        1                        0                       50 -0.9999981509405481E+000  0.3770776013782560E-001 -0.7432672425511395E-003  0.1389500596177873E+001 -0.2738879935772940E-001  0.9999742467822680E+000  0.3632396982450740E+000  0.9757379189145430E-017  0.2552062479414651E+003  0.1007983143612898E+002  0.7109375873058964E-003  0.2709741022557511E+002 -0.4981087303053803E+001
                       18                        1                        0                       49 -0.9999957731840161E+000  0.3844788614923231E-001 -0.6712551791470961E-003  0.1416773643697467E+001 -0.2473521281039312E-001  0.9999742467822680E+000  0.3669121903006253E+000 -0.1457239974933785E-017  0.2479873357632966E+003  0.8645478217664753E+001  0.7391199746721640E-003  0.2728573176947596E+002 -0.5010089335921414E+001
                       19                        1                        0                       48 -0.9999943803971277E+000  0.3920752983013945E-001 -0.6456349346570895E-003  0.1444765901621172E+001 -0.2379112743213231E-001  0.9999742467822680E+000  0.3848846000315361E+000  0.1676732893572908E-016  0.2501982288876055E+003  0.8253844874187227E+001  0.7686151976906374E-003  0.2854055250837032E+002 -0.5221545082040521E+001
                       20                        1                        0                       47 -0.9999970077284357E+000  0.4005551195388110E-001 -0.7178885714508871E-003  0.1476013360027095E+001 -0.2645361576434940E-001  0.9999742467822680E+000  0.4420601087693277E+000 -0.2195114810534329E-017  0.2752776466497793E+003  0.9862621443876472E+001  0.8022220189437578E-003  0.3267640438637949E+002 -0.5946580210479902E+001
                       21                        1                        0                       46 -0.9999983667236141E+000  0.4099160957343660E-001 -0.7858470305137506E-003  0.1510507803497055E+001 -0.2895783025595626E-001  0.9999742467822680E+000  0.5046816164170053E+000  0.2947980506360904E-017  0.3000334213120772E+003  0.1151595613497688E+002  0.8401560277105309E-003  0.3717640145591448E+002 -0.6722076157368368E+001
                       22                        1                        0                       45 -0.9999988010222474E+000  0.4199541034564697E-001 -0.8223360094514993E-003  0.1547497053623079E+001 -0.3030241974635836E-001  0.9999742467822680E+000  0.5615883424625494E+000 -0.2134295216984283E-019  0.3181064939558544E+003  0.1245527852838541E+002  0.8818072450496364E-003  0.4121751799674903E+002 -0.7411160465406986E+001
                       23                        1                        0                       44 -0.9999991417064085E+000  0.4305253689762684E-001 -0.8786750506601662E-003  0.1586451315791995E+001 -0.3237846804679838E-001  0.9999742467822680E+000  0.6323655952270381E+000  0.1532022379175818E-016  0.3407506360480727E+003  0.1392164330735484E+002  0.9267604666607623E-003  0.4622866503822181E+002 -0.8254349266914081E+001
                       24                        1                        0                       43 -0.9999994156109250E+000  0.4408698942352037E-001 -0.9560039828180366E-003  0.1624570058358327E+001 -0.3522797692620208E-001  0.9999742467822680E+000  0.7149390124563274E+000 -0.8587442990996388E-017  0.3673594617276383E+003  0.1593141905832036E+002  0.9718313182147970E-003  0.5207647259091586E+002 -0.9233704614244449E+001
