                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17
                        j                        l                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                    x_ref             Re(xi_r_ref)             Im(xi_r_ref)             Re(xi_h_ref)             Im(xi_h_ref)                        H            Re(lag_L_ref)            Im(lag_L_ref)
                        2                        1                        0                       90 -0.9999996926125104E+000  0.2422749723526694E-001 -0.3320728523966890E-003  0.1010665034176861E+001 -0.1385262445632097E-001  0.9999640991364236E+000  0.2640039096836892E-001  0.7774517775381820E-018  0.4496118197779204E+002  0.1233163433348574E+001  0.2934858111424355E-003  0.2846889753058568E+001 -0.5886488064376518E+000
                        3                        1                        0                       87 -0.9999998372112910E+000  0.2529582641166290E-001 -0.3857002325063527E-003  0.1055231046633264E+001 -0.1608972379122268E-001  0.9999640991364236E+000  0.3926428514889893E-001  0.1204546833455872E-017  0.6132464715453821E+002  0.1878543168392842E+001  0.3199394169244906E-003  0.4207323871261741E+001 -0.8630071842836373E+000
                        4                        1                        0                       89 -0.9999998034126566E+000  0.2455406305028702E-001 -0.3588515402211151E-003  0.1024287929162391E+001 -0.1496971398407825E-001  0.9999640991364236E+000  0.3064118748777930E-001  0.4672123828846251E-019  0.5078996618678832E+002  0.1486433317563601E+001  0.3014510061387354E-003  0.3297242718876046E+001 -0.6799267089565195E+000
                        5                        1                        0                       88 -0.9999998614596675E+000  0.2491446959223958E-001 -0.3830990979402012E-003  0.1039322511005613E+001 -0.1598121585374694E-001  0.9999640991364236E+000  0.3541608765660694E-001  0.8947574496005342E-018  0.5702702098271353E+002  0.1749444807736187E+001  0.3103653975313144E-003  0.3803790915987690E+001 -0.7827226851081345E+000
                        6                        1                        0                       85 -0.9999997106600854E+000  0.2566046607361379E-001 -0.3669990510696460E-003  0.1070442215695802E+001 -0.1530959243913387E-001  0.9999640991364236E+000  0.4147145583029444E-001  0.2116383403684456E-017  0.6294633512639204E+002  0.1788356054397661E+001  0.3292297595575421E-003  0.4433598496281465E+001 -0.9096647235749595E+000
                        7                        1                        0                       84 -0.9999996766354126E+000  0.2600301430017162E-001 -0.3692187122995624E-003  0.1084731826865269E+001 -0.1540218698041108E-001  0.9999640991364236E+000  0.4523858785477532E-001  0.2696985179931718E-017  0.6687824745845263E+002  0.1912240871302140E+001  0.3380783763474650E-003  0.4827931885550266E+001 -0.9867713014659929E+000
                        8                        1                        0                       83 -0.9999997919841828E+000  0.2636726245067800E-001 -0.4001060100073599E-003  0.1099926663785713E+001 -0.1669066971101857E-001  0.9999640991364236E+000  0.5216080649128971E-001 -0.1081631063572220E-018  0.7497496495245196E+002  0.2268134907936234E+001  0.3476162645714682E-003  0.5553969753102074E+001 -0.1133534599391495E+001
                        9                        1                        0                       82 -0.9999998187555301E+000  0.2675071578814344E-001 -0.4172337738493013E-003  0.1115922656960386E+001 -0.1740516497483355E-001  0.9999640991364236E+000  0.5855160034723423E-001 -0.1374681731491678E-017  0.8178014862412580E+002  0.2555971405293006E+001  0.3578003975890134E-003  0.6222609299249171E+001 -0.1265740406584977E+001
                       10                        1                        0                       81 -0.9999998093282527E+000  0.2715832917099741E-001 -0.4297303317185512E-003  0.1132926501373724E+001 -0.1792646661665704E-001  0.9999640991364236E+000  0.6530202479438788E-001  0.1144711181795173E-017  0.8847012661943859E+002  0.2799756729220443E+001  0.3687874216801250E-003  0.6922636674032944E+001 -0.1404934469613823E+001
