                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17
                        j                        l                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                    x_ref             Re(xi_r_ref)             Im(xi_r_ref)             Re(xi_h_ref)             Im(xi_h_ref)                        H            Re(lag_L_ref)            Im(lag_L_ref)
                        3                        1                        0                       95 -0.9999985992219500E+000  0.4713890763292930E-001 -0.5759658856819265E-003  0.1016211487502830E+001 -0.1241656158003218E-001  0.9999733777286288E+000  0.2696868620912454E+000  0.6810190848269376E-017  0.1213232965022940E+003  0.2972322714566366E+001  0.1111038306412921E-002  0.1602353807044132E+002 -0.2537854231360722E+001
                        4                        1                        0                       92 -0.9999965662692919E+000  0.4881760335243552E-001 -0.5097599349828279E-003  0.1052400486354224E+001 -0.1098930645215833E-001  0.9999733777286288E+000  0.2887543649514820E+000 -0.1551605546403466E-016  0.1211419138854175E+003  0.2536532243983888E+001  0.1191579198537858E-002  0.1704796569256812E+002 -0.2665222211815840E+001
                        5                        1                        0                       91 -0.9999952422926655E+000  0.4938636368443625E-001 -0.4783947846637475E-003  0.1064661711996443E+001 -0.1031314258536484E-001  0.9999733777286288E+000  0.2911862420051928E+000  0.6844752163543032E-017  0.1193663063153888E+003  0.2298546747971404E+001  0.1219506458985703E-002  0.1715339536961426E+002 -0.2672962126989089E+001
                        6                        1                        0                       90 -0.9999991354446703E+000  0.4984626680630170E-001 -0.6232311564930461E-003  0.1074576214878381E+001 -0.1343549718058138E-001  0.9999733777286288E+000  0.3531753233506325E+000  0.1304681485544713E-017  0.1420779269388098E+003  0.3554811993504964E+001  0.1242325157262509E-002  0.2077452195878944E+002 -0.3208941313924740E+001
                        7                        1                        0                       88 -0.9999997127684958E+000  0.5115673275960344E-001 -0.7406731083644782E-003  0.1102826987384537E+001 -0.1596728814900708E-001  0.9999733777286288E+000  0.4312565721246880E+000  0.2250728965597458E-016  0.1646997252086081E+003  0.4764199175335078E+001  0.1308505653318745E-002  0.2525417876148734E+002 -0.3842441342616513E+001
                        8                        1                        0                       86 -0.9999984961174271E+000  0.5225374362191224E-001 -0.6140012698577692E-003  0.1126476136169963E+001 -0.1323652106301507E-001  0.9999733777286288E+000  0.4173189126045926E+000  0.6663688211435640E-018  0.1527956517493034E+003  0.3597751704955443E+001  0.1365226861252270E-002  0.2433686588522443E+002 -0.3673453217925692E+001
                        9                        1                        0                       84 -0.9999967343802815E+000  0.5351875896170932E-001 -0.5591712455192990E-003  0.1153747093108114E+001 -0.1205450596358391E-001  0.9999733777286288E+000  0.4309023946729404E+000 -0.1890139244568112E-018  0.1503872890277498E+003  0.3148012316551980E+001  0.1432128780400773E-002  0.2500892391258564E+002 -0.3732319285386070E+001
                       10                        1                        0                       87 -0.9999986818229875E+000  0.5158261145699754E-001 -0.6042923386090564E-003  0.1112007998279925E+001 -0.1302721779397994E-001  0.9999733777286288E+000  0.3944248096526635E+000  0.7293540076520735E-017  0.1481773978792321E+003  0.3471591784859673E+001  0.1330382902361784E-002  0.2305391098774041E+002 -0.3504796212893726E+001
                       11                        1                        0                       85 -0.9999962730086237E+000  0.5289579207570217E-001 -0.5388939536851276E-003  0.1140317293019745E+001 -0.1161737201347647E-001  0.9999733777286288E+000  0.4044952540061419E+000 -0.5830605323734855E-017  0.1445386139312711E+003  0.2933588190215386E+001  0.1398982409657960E-002  0.2353023797957893E+002 -0.3538629818623278E+001
                       12                        1                        0                       83 -0.9999977101905327E+000  0.5416913097746667E-001 -0.5988013822803087E-003  0.1167767687702913E+001 -0.1290884481550320E-001  0.9999733777286288E+000  0.4674702548389290E+000  0.2091673423616357E-017  0.1592814617040634E+003  0.3527196589606015E+001  0.1467147375426971E-002  0.2707628005331159E+002 -0.4009511672357674E+001
                       13                        1                        0                       82 -0.9999980425126435E+000  0.5494520053501153E-001 -0.6335034600111935E-003  0.1184498045682770E+001 -0.1365694552044416E-001  0.9999733777286288E+000  0.5070659240881373E+000  0.1925789752837830E-016  0.1679017402869240E+003  0.3863287362927045E+001  0.1509487530916316E-002  0.2928777571434200E+002 -0.4299938648172723E+001
                       14                        1                        0                       81 -0.9999902593972919E+000  0.5563551353239234E-001 -0.4775387685138103E-003  0.1199379680263137E+001 -0.1029468875415119E-001  0.9999733777286288E+000  0.4511608422680555E+000  0.9012296016429456E-017  0.1457228256983795E+003  0.2511509519321760E+001  0.1547655183006507E-002  0.2598604447222101E+002 -0.3799021598371537E+001
                       15                        1                        0                       80 -0.9999955102329815E+000  0.5627354454397161E-001 -0.5771887445343925E-003  0.1213134229867866E+001 -0.1244292373553963E-001  0.9999733777286288E+000  0.5214601674653760E+000  0.6469323173780405E-018  0.1646434470120111E+003  0.3382234724512686E+001  0.1583355907771182E-002  0.2997918962174637E+002 -0.4341792207529674E+001
                       16                        1                        0                       79 -0.9999936551478599E+000  0.5716588070557080E-001 -0.5624294531562969E-003  0.1232371040894387E+001 -0.1212474577599470E-001  0.9999733777286288E+000  0.5415613159172959E+000 -0.7713518066760311E-018  0.1656799669250240E+003  0.3249118588656213E+001  0.1633968958421774E-002  0.3103356270992122E+002 -0.4453851326697742E+001
                       17                        1                        0                       78 -0.9999835102377517E+000  0.5786500505956647E-001 -0.4791307276038699E-003  0.1247442629002786E+001 -0.1032900790145835E-001  0.9999733777286288E+000  0.5156782380520747E+000 -0.2319869019004872E-016  0.1539689690528099E+003  0.2567994282767095E+001  0.1674179405271826E-002  0.2947134731656474E+002 -0.4199278046545359E+001
                       18                        1                        0                       77 -0.9999913215107158E+000  0.5862696869638678E-001 -0.5760109848983796E-003  0.1263868894261749E+001 -0.1241753382025026E-001  0.9999733777286288E+000  0.5955162395913037E+000 -0.1863958081235468E-016  0.1732502448007264E+003  0.3398108223592051E+001  0.1718560729263556E-002  0.3396048653666296E+002 -0.4788240268977251E+001
                       19                        1                        0                       76 -0.9999889664146384E+000  0.5946384204975805E-001 -0.5739748389619320E-003  0.1281910048755682E+001 -0.1237363897849952E-001  0.9999733777286288E+000  0.6218676884908692E+000  0.1541623139619313E-016  0.1758161576349804E+003  0.3391915634569103E+001  0.1767974255659294E-002  0.3535240454245977E+002 -0.4933353086841737E+001
                       20                        1                        0                       75 -0.9999795485577334E+000  0.6025583165902647E-001 -0.5284757050432469E-003  0.1298983608142943E+001 -0.1139277741675857E-001  0.9999733777286288E+000  0.6194098625213307E+000 -0.2212314051602373E-017  0.1705773934414581E+003  0.3002028582559662E+001  0.1815382624460472E-002  0.3511830635893035E+002 -0.4855954079554676E+001
