                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17
                        j                        l                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                    x_ref             Re(xi_r_ref)             Im(xi_r_ref)             Re(xi_h_ref)             Im(xi_h_ref)                        H            Re(lag_L_ref)            Im(lag_L_ref)
                        1                        1                        0                       60 -0.2470117479011796E+000  0.2739786054876242E+000 -0.4238818888396558E-003  0.1012660412368037E+001 -0.1566722363535417E-002  0.9999977777300482E+000  0.5199841398999947E+001  0.1620478096715364E-016  0.6927179610500330E+002  0.2130426319995441E+000  0.3753213813247150E-001  0.2766823362122879E+002  0.1436220307208781E+002
                        2                        1                        0                       59 -0.1408680756416339E+000  0.2779968605958419E+000 -0.6423676158601405E-003  0.1027512403703804E+001 -0.2374273909493951E-002  0.9999977777300482E+000  0.9125886037070558E+001  0.5818289273134023E-017  0.1180843007721179E+003  0.5466071654968719E+000  0.3864112725057193E-001  0.4809000711855177E+002  0.2559447564234379E+002
                        3                        1                        0                       58 -0.1431945675626984E+000  0.2843683913485592E+000 -0.6746238393949981E-003  0.1051062406624575E+001 -0.2493497089596311E-002  0.9999977777300482E+000  0.9416851270029056E+001 -0.3789030968741408E-016  0.1164497531863561E+003  0.5506350859970238E+000  0.4043269099908370E-001  0.4880752732099380E+002  0.2703564401293785E+002
                        4                        1                        0                       58 -0.1369203710171515E+000  0.2877984753178852E+000 -0.7054824544982154E-003  0.1063740441249404E+001 -0.2607554527913122E-002  0.9999977777300482E+000  0.9962929947605332E+001 -0.1202967247837358E-015  0.1202830959780732E+003  0.5883784844619688E+000  0.4141398119764959E-001  0.5116040539565562E+002  0.2897810029612370E+002
                        5                        1                        0                       57 -0.1632519677441429E+000  0.2927509834866788E+000 -0.4412665732528708E-003  0.1082045552904165E+001 -0.1630978408840274E-002  0.9999977777300482E+000  0.7190368882898294E+001 -0.2155620469911267E-015  0.8389830601766553E+002  0.2527360945097920E+000  0.4285156916620873E-001  0.3638621835939488E+002  0.2128518171181932E+002
                        6                        1                        0                       55 -0.1420137089296575E+000  0.2991159714152505E+000 -0.5081521176952510E-003  0.1105571372699449E+001 -0.1878196044304664E-002  0.9999977777300482E+000  0.8478879304124666E+001  0.1721663431300885E-016  0.9476694460474606E+002  0.3230766778133602E+000  0.4473518217784454E-001  0.4209835495506479E+002  0.2573687620925519E+002
                        7                        1                        0                       55 -0.1089469629755977E+000  0.3029709567066770E+000 -0.8077288272647726E-003  0.1119819897645186E+001 -0.2985470364898411E-002  0.9999977777300482E+000  0.1254483300392837E+002 -0.2628283572633686E-015  0.1366643505181871E+003  0.7319886639143184E+000  0.4589570030387959E-001  0.6157170258906516E+002  0.3872049905784605E+002
                        8                        1                        0                       54 -0.1607218038765193E+000  0.3086795417361216E+000 -0.3327535797595524E-003  0.1140919567306131E+001 -0.1229900329978392E-002  0.9999977777300482E+000  0.6503143606243617E+001 -0.7563501019266201E-016  0.6825263837258861E+002  0.1413288387689775E+000  0.4764152974321081E-001  0.3127627064683895E+002  0.2047750975894266E+002
                        9                        1                        0                       53 -0.1724876671605470E+000  0.3149171456763996E+000 -0.2920014981690985E-003  0.1163974559381546E+001 -0.1079275358094925E-002  0.9999977777300482E+000  0.5903527513504366E+001  0.3228078915205091E-016  0.5952701478426263E+002  0.1152037250517293E+000  0.4958640432048531E-001  0.2774976974583447E+002  0.1905070546992158E+002
                       10                        1                        0                       52 -0.9238130977084913E-001  0.3203001900562382E+000 -0.4146373199578653E-003  0.1183870988636600E+001 -0.1532553239565547E-002  0.9999977777300482E+000  0.1013268254633114E+002 -0.1732718866383811E-015  0.9876754314745746E+002  0.2523070452032218E+000  0.5129610587503108E-001  0.4665713031322014E+002  0.3341388845029094E+002
                       11                        1                        0                       51 -0.8417369420624915E-001  0.3264766770380491E+000 -0.3082443376717926E-003  0.1206700084517479E+001 -0.1139310996715507E-002  0.9999977777300482E+000  0.9278617205985359E+001 -0.1380661142350923E-015  0.8705175466845758E+002  0.1662187041880582E+000  0.5329351032490326E-001  0.4160763571953692E+002  0.3131482995139784E+002
                       12                        1                        0                       50 -0.3565422105318211E+000  0.3307671932130519E+000 -0.2098715262432459E-003  0.1222558388020109E+001 -0.7757123441501519E-003  0.9999977777300482E+000  0.3141128009783040E+001  0.1479266832491559E-015  0.2871158255734440E+002  0.3330547443314952E-001  0.5470346805302025E-001  0.1381130245961923E+002  0.1076613809268037E+002
                       13                        1                        0                       49 -0.7532102264743550E-001  0.3430846872010059E+000 -0.1841810835621636E-003  0.1268085441196331E+001 -0.6807571405018972E-003  0.9999977777300482E+000  0.7823303183733968E+001  0.2693282052672395E-015  0.6646406195053078E+002  0.7284201549521958E-001  0.5885355129590593E-001  0.3228482958876960E+002  0.2800703347699392E+002
                       14                        1                        0                       48 -0.6676274534385640E-001  0.3466060502001137E+000 -0.1933179969179993E-003  0.1281100854937953E+001 -0.7145283557039889E-003  0.9999977777300482E+000  0.8600746729414469E+001 -0.1495917207777938E-015  0.7159191856839236E+002  0.8098599476095714E-001  0.6006787701766188E-001  0.3478319866947137E+002  0.3114991675176746E+002
                       15                        1                        0                       47 -0.7372631898034702E-001  0.3524794686359568E+000 -0.1280395122549313E-003  0.1302809770218638E+001 -0.4732506213348759E-003  0.9999977777300482E+000  0.6704902268855413E+001  0.1774663606117141E-015  0.5396768425196900E+002  0.3705903558760246E-001  0.6212088790494323E-001  0.2615020508252304E+002  0.2471716264932550E+002
                       16                        1                        0                       46 -0.2385122056243277E+000  0.3616781186382181E+000 -0.1419525874258340E-003  0.1336809172062224E+001 -0.5246751492274752E-003  0.9999977777300482E+000  0.3607788966309165E+001 -0.2044697843765309E-015  0.2757970902315757E+002  0.2315441033842899E-001  0.6540553075084052E-001  0.1320791987794239E+002  0.1363988407142489E+002
                       17                        1                        0                       45 -0.1630762857783918E-001  0.3708334543533275E+000 -0.4672980775274454E-004  0.1370648478690308E+001 -0.1727194220313341E-003  0.9999977777300482E+000  0.9315460813997966E+001 -0.8083094964029954E-015  0.6774093036434257E+002  0.1641001882987919E-001  0.6875872543381090E-001  0.3173852542460570E+002  0.3591599906919577E+002
                       18                        1                        0                       44 -0.1203732430406422E-003  0.3751999007136701E+000  0.1797275493627787E-005  0.1386787429992646E+001  0.6642963012665941E-005  0.9999977777300482E+000  0.1063863805741530E+002 -0.3834212732122337E-016  0.7557282367604192E+002 -0.1527012696595834E-002  0.7038748274777393E-001  0.3490612562671986E+002  0.4132413486922359E+002
                       19                        1                        0                       43 -0.5689916645272876E-001  0.3848009905328606E+000 -0.6162289852978922E-004  0.1422274301524749E+001 -0.2277662145386341E-003  0.9999977777300482E+000  0.5733536643612364E+001  0.1050465570844425E-016  0.3872152181356081E+002  0.1256522186339512E-001  0.7403590115753521E-001  0.1717717327291500E+002  0.2256161904080395E+002
                       20                        1                        0                       42 -0.4602213177152584E-001  0.3955508387533915E+000 -0.5629058114598037E-004  0.1462007132898651E+001 -0.2080572788312107E-003  0.9999977777300482E+000  0.6337128853522932E+001  0.8238605972686743E-016  0.4050116294135769E+002  0.1467101357599502E-001  0.7823023301925602E-001  0.1689296116911085E+002  0.2507733561473924E+002
                       21                        1                        0                       41  0.5047829623313545E-001  0.4014393410028133E+000  0.2936890587865917E-003  0.1483771799908021E+001  0.1085512800714815E-002  0.9999977777300482E+000  0.1445375638037155E+002 -0.7365013093639870E-016  0.8969051490499979E+002 -0.1326228355236014E+000  0.8057677225238648E-001  0.3590492026716109E+002  0.5699574021685090E+002
                       22                        1                        0                       40 -0.5105501519880185E-001  0.4108613551277304E+000 -0.4376317255510560E-004  0.1518596784479697E+001 -0.1617543540938587E-003  0.9999977777300482E+000  0.5549726690433253E+001 -0.5986216322835282E-015  0.3287620947447849E+002  0.7278362966724449E-002  0.8440352656869748E-001  0.1216693959831053E+002  0.2178224833586654E+002
                       23                        1                        0                       39  0.2582504689609978E-001  0.4259831526118393E+000  0.4489705496387889E-004  0.1574488906599048E+001  0.1659453303403492E-003  0.9999977777300482E+000  0.8347944051572917E+001 -0.4010153124679773E-015  0.4600408736065457E+002 -0.9588874038491669E-002  0.9073082315456102E-001  0.1453303366842845E+002  0.3186007554869312E+002
