                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17
                        j                        l                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                    x_ref             Re(xi_r_ref)             Im(xi_r_ref)             Re(xi_h_ref)             Im(xi_h_ref)                        H            Re(lag_L_ref)            Im(lag_L_ref)
                        1                        1                        0                       72 -0.9999852991603547E+000  0.5337008535003823E-001 -0.6452251019808167E-003  0.1020004216503779E+001 -0.1233148345740921E-001  0.9999873134680528E+000  0.3968538767227786E+000 -0.6811658905956849E-017  0.1392774836849530E+003  0.3377999163995635E+001  0.1424183005135184E-002  0.1635568970971993E+002 -0.2282503804901036E+001
                        2                        1                        0                       72 -0.9999936662146530E+000  0.5291483717981244E-001 -0.7350208943614182E-003  0.1011303554885189E+001 -0.1404765247328742E-001  0.9999873134680528E+000  0.4160637579642041E+000 -0.4604601743703384E-016  0.1485119926883621E+003  0.4130444211747566E+001  0.1399989996883032E-002  0.1717657224465234E+002 -0.2394331872597507E+001
                        3                        1                        0                       69 -0.9999878926344949E+000  0.5508783594610048E-001 -0.6730865740364585E-003  0.1052833709643874E+001 -0.1286396937697194E-001  0.9999873134680528E+000  0.4555078607476072E+000 -0.1198922372450542E-016  0.1500380509165930E+003  0.3689563502168353E+001  0.1517334834612236E-002  0.1865478908189896E+002 -0.2588324191028264E+001
                        4                        1                        0                       70 -0.9999952427553213E+000  0.5439199280827062E-001 -0.7933122108261415E-003  0.1039534818889689E+001 -0.1516171081120483E-001  0.9999873134680528E+000  0.4803831645336376E+000  0.2721464605197179E-017  0.1622634488176247E+003  0.4723037932568936E+001  0.1479244440827483E-002  0.1972342934158739E+002 -0.2737110453452989E+001
                        5                        1                        0                       68 -0.9999961143118077E+000  0.5607604524120670E-001 -0.8253524402630222E-003  0.1071720275801405E+001 -0.1577406076172526E-001  0.9999873134680528E+000  0.5458608824431623E+000  0.2491183393499659E-016  0.1734941958322870E+003  0.5100555967649038E+001  0.1572261424946930E-002  0.2227956169060671E+002 -0.3073689714287986E+001
                        6                        1                        0                       67 -0.9999853449389340E+000  0.5697377641462645E-001 -0.6488010170367941E-003  0.1088877632327431E+001 -0.1239982602068288E-001  0.9999873134680528E+000  0.5004786889989528E+000  0.3750228068685076E-017  0.1541112007487304E+003  0.3503453734514883E+001  0.1623005599471922E-002  0.2035557596347407E+002 -0.2813165779659544E+001
                        7                        1                        0                       66 -0.9999948883207527E+000  0.5784929361466576E-001 -0.7971844569629078E-003  0.1105610437414861E+001 -0.1523571682713936E-001  0.9999873134680528E+000  0.5930426167071318E+000  0.2047673562227295E-016  0.1771184041476091E+003  0.4895041236687929E+001  0.1673270385857901E-002  0.2405302320406581E+002 -0.3298087439158475E+001
                        8                        1                        0                       65 -0.9999924968631377E+000  0.5890531158775871E-001 -0.7445932473000823E-003  0.1125792956857989E+001 -0.1423059841192068E-001  0.9999873134680528E+000  0.6045743581922535E+000 -0.2371065268228277E-018  0.1741769173866123E+003  0.4387219643817602E+001  0.1734917866625472E-002  0.2443098500424928E+002 -0.3344956342093481E+001
                        9                        1                        0                       64 -0.9999922597093918E+000  0.5976870792238105E-001 -0.7352051473355385E-003  0.1142294109068121E+001 -0.1405117389936859E-001  0.9999873134680528E+000  0.6289986316708522E+000 -0.1966262934764419E-016  0.1759662866968451E+003  0.4328356029995020E+001  0.1786149223355444E-002  0.2533537911341184E+002 -0.3455041377589001E+001
                       10                        1                        0                       63 -0.9999967205843248E+000  0.6076113231955263E-001 -0.8532094600378277E-003  0.1161261233872906E+001 -0.1630646158970164E-001  0.9999873134680528E+000  0.7205793884394343E+000 -0.1185604324045925E-016  0.1950912022757833E+003  0.5496700787092909E+001  0.1845957600377096E-002  0.2893932553578527E+002 -0.3914725548165018E+001
                       11                        1                        0                       62 -0.9999981197755310E+000  0.6195331784074808E-001 -0.9618847361899722E-003  0.1184046175109154E+001 -0.1838345358208602E-001  0.9999873134680528E+000  0.8184162536814047E+000 -0.3585962903674214E-017  0.2130825771100552E+003  0.6597835691695632E+001  0.1919106795738381E-002  0.3273670338529845E+002 -0.4396993667086334E+001
                       12                        1                        0                       61 -0.9999859919471922E+000  0.6316980204035640E-001 -0.6752774877137725E-003  0.1207295510476945E+001 -0.1290584191988056E-001  0.9999873134680528E+000  0.7117348162711107E+000 -0.4764571878179192E-016  0.1782696098260678E+003  0.3865668392781829E+001  0.1995211944908906E-002  0.2834168788648413E+002 -0.3800549865245322E+001
                       13                        1                        0                       60 -0.9999954800991755E+000  0.6379015059257578E-001 -0.8693920230510714E-003  0.1219151555578161E+001 -0.1661574126199535E-001  0.9999873134680528E+000  0.8430923919348050E+000  0.8642476986042780E-017  0.2071284292856745E+003  0.5669325162222050E+001  0.2034591656311752E-002  0.3352411468219101E+002 -0.4464713668301725E+001
                       14                        1                        0                       59 -0.9999982115433115E+000  0.6523973337371294E-001 -0.1033500754284819E-002  0.1246855849832772E+001 -0.1975217240550275E-001  0.9999873134680528E+000  0.9910862946319421E+000  0.2664719744484437E-016  0.2326550351727572E+003  0.7373874262177209E+001  0.2128111405336577E-002  0.3921600366119542E+002 -0.5162597282537080E+001
                       15                        1                        0                       58 -0.9999904642444977E+000  0.6648162390761882E-001 -0.7625444234117575E-003  0.1270590748750621E+001 -0.1457367965687315E-001  0.9999873134680528E+000  0.8838735905823236E+000 -0.2357655748061975E-016  0.1999474592853941E+003  0.4586095368897897E+001  0.2209903158697033E-002  0.3483376025118644E+002 -0.4584075911858333E+001
                       16                        1                        0                       57 -0.9999953721200135E+000  0.6748489595099674E-001 -0.9192329603319857E-003  0.1289765192782967E+001 -0.1756829672162413E-001  0.9999873134680528E+000  0.1021598644967376E+001  0.1298566505988568E-016  0.2241899525720792E+003  0.6100704222306162E+001  0.2277105590758428E-002  0.4013047558207610E+002 -0.5227895140225968E+001
                       17                        1                        0                       56 -0.9999954807548523E+000  0.6893443111091199E-001 -0.9480221667641553E-003  0.1317468576905117E+001 -0.1811851341620151E-001  0.9999873134680528E+000  0.1101371542196233E+001  0.6683229415083430E-017  0.2316600930568305E+003  0.6366609317176239E+001  0.2375977896292536E-002  0.4307173285200155E+002 -0.5552941198021472E+001
                       18                        1                        0                       55 -0.9999918495210959E+000  0.7022330605515856E-001 -0.8666511391207260E-003  0.1342101437599552E+001 -0.1656335773763776E-001  0.9999873134680528E+000  0.1103155268484996E+001  0.2436603658523031E-016  0.2235902943542585E+003  0.5528985176887895E+001  0.2465656356658228E-002  0.4295748401950092E+002 -0.5496851348908275E+001
                       19                        1                        0                       54 -0.9999942101748941E+000  0.7153297163339635E-001 -0.9627357568804539E-003  0.1367131646999647E+001 -0.1839971821211106E-001  0.9999873134680528E+000  0.1226271545844769E+001  0.7131922396696839E-016  0.2395452888798544E+003  0.6450998031643069E+001  0.2558483015352139E-002  0.4757058029723324E+002 -0.6014989612181588E+001
                       20                        1                        0                       53 -0.9999965585666213E+000  0.7304395428091241E-001 -0.1115877934298437E-002  0.1396009409915372E+001 -0.2132655757664284E-001  0.9999873134680528E+000  0.1401973310683780E+001  0.6257144643401298E-016  0.2625892935960786E+003  0.8012495093115650E+001  0.2667709628496014E-002  0.5413940686827715E+002 -0.6740941659797333E+001
                       21                        1                        0                       52 -0.9999948182586723E+000  0.7461139414703639E-001 -0.1089049659904616E-002  0.1425966178057611E+001 -0.2081381803681000E-001  0.9999873134680528E+000  0.1460799224921685E+001 -0.6467628715059041E-016  0.2622399863770113E+003  0.7680844963715798E+001  0.2783430068282197E-002  0.5613804712086927E+002 -0.6896645170634167E+001
